,Bedroom,Bathroom,Toilet,Price,TypeOfHouse,Totalrooms
622,3.0,3.0,4.0,1500000.0,0,10.0
623,3.0,3.0,3.0,900000.0,0,9.0
624,1.0,1.0,1.0,500000.0,0,3.0
625,2.0,2.0,2.0,530000.0,0,6.0
626,5.0,5.0,6.0,2800000.0,1,16.0
627,4.0,4.0,5.0,1800000.0,1,13.0
628,2.0,2.0,3.0,1000000.0,0,7.0
629,4.0,5.0,5.0,2000000.0,0,14.0
630,3.0,3.0,1.0,2800000.0,0,7.0
631,3.0,3.0,4.0,1200000.0,0,10.0
632,1.0,1.0,1.0,2800000.0,0,3.0
633,1.0,1.0,1.0,1000000.0,0,3.0
634,3.0,3.0,3.0,2000000.0,1,9.0
635,4.0,4.0,4.0,2000000.0,1,12.0
637,6.0,5.0,5.0,2800000.0,1,16.0
638,3.0,3.0,4.0,850000.0,0,10.0
639,2.0,2.0,3.0,700000.0,0,7.0
641,2.0,3.0,3.0,2800000.0,0,8.0
643,4.0,5.0,5.0,2800000.0,0,14.0
644,7.0,7.0,8.0,2500000.0,1,22.0
645,1.0,1.0,1.0,500000.0,0,3.0
646,3.0,3.0,4.0,2500000.0,0,10.0
647,3.0,3.0,4.0,3500000.0,0,10.0
648,3.0,3.0,4.0,2500000.0,0,10.0
649,4.0,4.0,5.0,5500000.0,0,13.0
650,4.0,4.0,5.0,4000000.0,0,13.0
651,3.0,3.0,4.0,4500000.0,0,10.0
652,3.0,3.0,4.0,2300000.0,0,10.0
653,4.0,4.0,5.0,3500000.0,1,13.0
654,3.0,3.0,4.0,2000000.0,0,10.0
655,3.0,3.0,4.0,4000000.0,0,10.0
656,3.0,3.0,4.0,2500000.0,0,10.0
657,2.0,2.0,3.0,1600000.0,0,7.0
658,4.0,5.0,6.0,3000000.0,1,15.0
659,3.0,4.0,4.0,2800000.0,0,11.0
660,3.0,3.0,4.0,800000.0,0,10.0
661,3.0,3.0,4.0,4500000.0,0,10.0
662,3.0,3.0,4.0,5000000.0,0,10.0
663,2.0,2.0,3.0,2500000.0,0,7.0
664,3.0,3.0,4.0,3500000.0,0,10.0
665,3.0,3.0,4.0,4500000.0,0,10.0
666,5.0,6.0,7.0,3000000.0,1,18.0
667,3.0,3.0,4.0,2600000.0,0,10.0
668,5.0,5.0,6.0,4500000.0,0,16.0
669,5.0,5.0,6.0,7000000.0,1,16.0
670,3.0,3.0,4.0,2300000.0,0,10.0
671,2.0,2.0,3.0,2400000.0,0,7.0
672,4.0,4.0,4.0,3000000.0,0,12.0
674,3.0,3.0,4.0,1200000.0,0,10.0
675,3.0,3.0,4.0,2700000.0,0,10.0
676,3.0,3.0,4.0,1300000.0,0,10.0
677,5.0,5.0,6.0,4000000.0,1,16.0
678,5.0,5.0,6.0,3800000.0,1,16.0
679,4.0,4.0,5.0,7000000.0,1,13.0
680,3.0,3.0,4.0,2500000.0,0,10.0
681,2.0,2.0,3.0,2500000.0,0,7.0
682,2.0,2.0,3.0,2500000.0,0,7.0
683,4.0,4.0,5.0,5000000.0,0,13.0
684,4.0,4.0,5.0,3000000.0,1,13.0
685,4.0,4.0,5.0,4000000.0,0,13.0
686,3.0,3.0,4.0,3000000.0,0,10.0
687,4.0,4.0,5.0,4000000.0,0,13.0
688,1.0,1.0,2.0,1700000.0,0,4.0
689,3.0,3.0,4.0,2000000.0,0,10.0
690,3.0,3.0,4.0,5000000.0,0,10.0
691,4.0,4.0,5.0,4000000.0,0,13.0
692,5.0,5.0,6.0,4000000.0,0,16.0
693,4.0,4.0,5.0,3200000.0,1,13.0
694,5.0,5.0,6.0,6000000.0,1,16.0
695,4.0,4.0,5.0,3500000.0,1,13.0
696,4.0,4.0,5.0,4000000.0,0,13.0
697,4.0,4.0,5.0,3500000.0,0,13.0
698,4.0,4.0,5.0,3600000.0,1,13.0
699,5.0,1.0,1.0,6500000.0,1,7.0
700,3.0,3.0,4.0,2500000.0,0,10.0
701,5.0,5.0,6.0,6500000.0,1,16.0
702,5.0,5.0,6.0,6500000.0,1,16.0
703,4.0,4.0,5.0,5000000.0,1,13.0
704,2.0,2.0,3.0,2800000.0,0,7.0
706,3.0,3.0,4.0,3500000.0,0,10.0
707,3.0,3.0,4.0,2700000.0,0,10.0
708,3.0,3.0,4.0,3500000.0,0,10.0
709,4.0,4.0,5.0,7000000.0,0,13.0
710,3.0,3.0,4.0,2500000.0,0,10.0
711,5.0,5.0,6.0,6000000.0,1,16.0
712,5.0,5.0,6.0,4000000.0,1,16.0
713,5.0,6.0,6.0,7000000.0,1,17.0
714,3.0,3.0,4.0,2500000.0,0,10.0
715,5.0,5.0,6.0,7000000.0,1,16.0
717,3.0,3.0,4.0,1700000.0,0,10.0
718,1.0,1.0,1.0,800000.0,0,3.0
720,3.0,3.0,4.0,2500000.0,0,10.0
721,1.0,1.0,1.0,650000.0,0,3.0
722,4.0,4.0,5.0,5000000.0,1,13.0
723,4.0,4.0,5.0,3500000.0,1,13.0
724,5.0,5.0,6.0,6000000.0,1,16.0
725,3.0,3.0,5.0,3500000.0,0,11.0
726,5.0,5.0,6.0,6500000.0,1,16.0
727,5.0,5.0,6.0,5500000.0,1,16.0
728,4.0,4.0,5.0,7000000.0,0,13.0
729,4.0,4.0,5.0,5000000.0,1,13.0
730,4.0,4.0,5.0,3000000.0,1,13.0
731,5.0,5.0,6.0,5000000.0,1,16.0
732,4.0,4.0,5.0,4000000.0,0,13.0
733,3.0,3.0,4.0,2300000.0,0,10.0
734,4.0,4.0,5.0,2500000.0,0,13.0
735,2.0,2.0,2.0,700000.0,0,6.0
736,3.0,3.0,4.0,4500000.0,0,10.0
737,2.0,2.0,3.0,3000000.0,0,7.0
738,3.0,3.0,4.0,2500000.0,0,10.0
739,4.0,4.0,5.0,4500000.0,1,13.0
740,1.0,1.0,1.0,1700000.0,0,3.0
741,4.0,4.0,5.0,4000000.0,1,13.0
742,5.0,5.0,6.0,7000000.0,1,16.0
743,4.0,4.0,5.0,3500000.0,1,13.0
744,3.0,3.0,4.0,2500000.0,0,10.0
745,3.0,3.0,4.0,3000000.0,0,10.0
746,5.0,5.0,6.0,6000000.0,0,16.0
747,2.0,2.0,3.0,2000000.0,0,7.0
749,5.0,5.0,6.0,7000000.0,1,16.0
750,4.0,4.0,5.0,5000000.0,1,13.0
751,3.0,3.0,4.0,2000000.0,0,10.0
752,2.0,2.0,3.0,2000000.0,0,7.0
753,4.0,5.0,6.0,2300000.0,1,15.0
754,5.0,5.0,6.0,5000000.0,1,16.0
755,1.0,1.0,1.0,1800000.0,0,3.0
757,4.0,4.0,5.0,3000000.0,1,13.0
758,4.0,4.0,5.0,3500000.0,1,13.0
759,4.0,4.0,5.0,4500000.0,1,13.0
760,5.0,5.0,6.0,7000000.0,1,16.0
761,3.0,3.0,4.0,3000000.0,0,10.0
762,3.0,4.0,5.0,4000000.0,0,12.0
763,4.0,5.0,6.0,3300000.0,1,15.0
764,5.0,5.0,6.0,7000000.0,1,16.0
765,2.0,2.0,3.0,1600000.0,0,7.0
766,4.0,4.0,5.0,4500000.0,0,13.0
767,4.0,4.0,5.0,7000000.0,0,13.0
768,4.0,4.0,5.0,5000000.0,1,13.0
769,5.0,5.0,6.0,6000000.0,0,16.0
770,2.0,2.0,3.0,2000000.0,0,7.0
771,5.0,5.0,6.0,5000000.0,1,16.0
772,3.0,3.0,4.0,4500000.0,0,10.0
773,4.0,4.0,5.0,3500000.0,1,13.0
774,3.0,3.0,4.0,7000000.0,0,10.0
775,3.0,3.0,4.0,3500000.0,0,10.0
776,4.0,4.0,5.0,2800000.0,1,13.0
778,4.0,4.0,5.0,4500000.0,1,13.0
779,3.0,2.0,2.0,2800000.0,0,7.0
780,3.0,3.0,4.0,3500000.0,0,10.0
781,4.0,4.0,5.0,5000000.0,0,13.0
782,4.0,4.0,5.0,6000000.0,0,13.0
783,3.0,3.0,4.0,2800000.0,0,10.0
784,5.0,5.0,6.0,7000000.0,1,16.0
785,3.0,3.0,4.0,7000000.0,0,10.0
787,1.0,1.0,2.0,1800000.0,0,4.0
788,4.0,4.0,5.0,4500000.0,1,13.0
789,4.0,4.0,5.0,3200000.0,1,13.0
790,5.0,5.0,6.0,7000000.0,1,16.0
791,4.0,4.0,5.0,2500000.0,1,13.0
792,5.0,5.0,6.0,7000000.0,0,16.0
793,4.0,4.0,5.0,4500000.0,0,13.0
794,4.0,4.0,5.0,2500000.0,1,13.0
795,7.0,7.0,8.0,7000000.0,1,22.0
796,4.0,4.0,5.0,2300000.0,1,13.0
797,4.0,4.0,5.0,3500000.0,1,13.0
798,2.0,2.0,3.0,2500000.0,1,7.0
799,4.0,4.0,5.0,3500000.0,1,13.0
801,5.0,5.0,6.0,4500000.0,1,16.0
802,3.0,3.0,4.0,3000000.0,0,10.0
803,5.0,5.0,6.0,7000000.0,1,16.0
804,4.0,4.0,5.0,3500000.0,1,13.0
805,2.0,2.0,3.0,3000000.0,0,7.0
806,2.0,2.0,3.0,2500000.0,0,7.0
807,5.0,1.0,1.0,6000000.0,1,7.0
808,3.0,3.0,4.0,3500000.0,1,10.0
809,4.0,4.0,5.0,3700000.0,1,13.0
810,5.0,5.0,6.0,6000000.0,1,16.0
811,5.0,5.0,6.0,4000000.0,1,16.0
812,3.0,3.0,4.0,2800000.0,0,10.0
813,4.0,4.0,5.0,4000000.0,0,13.0
814,2.0,2.0,3.0,3000000.0,0,7.0
815,4.0,4.0,5.0,2500000.0,1,13.0
816,4.0,4.0,5.0,5500000.0,1,13.0
817,3.0,3.0,3.0,7000000.0,0,9.0
818,4.0,4.0,4.0,3000000.0,1,12.0
819,4.0,4.0,4.0,5000000.0,0,12.0
820,5.0,5.0,6.0,5500000.0,1,16.0
821,2.0,2.0,3.0,2500000.0,0,7.0
822,3.0,3.0,4.0,3500000.0,0,10.0
823,3.0,3.0,4.0,3000000.0,0,10.0
824,3.0,3.0,4.0,2500000.0,0,10.0
825,5.0,5.0,6.0,4500000.0,1,16.0
826,2.0,2.0,3.0,1700000.0,0,7.0
827,3.0,3.0,4.0,3000000.0,0,10.0
828,3.0,3.0,4.0,3500000.0,0,10.0
829,4.0,4.0,5.0,4000000.0,1,13.0
830,1.0,1.0,1.0,7000000.0,1,3.0
831,3.0,3.0,4.0,2300000.0,0,10.0
832,5.0,5.0,6.0,7000000.0,1,16.0
833,3.0,3.0,4.0,2500000.0,0,10.0
834,2.0,2.0,3.0,2300000.0,0,7.0
835,5.0,5.0,6.0,6500000.0,1,16.0
836,3.0,3.0,4.0,2500000.0,0,10.0
837,3.0,3.0,4.0,1500000.0,0,10.0
838,4.0,4.0,5.0,4500000.0,1,13.0
839,3.0,3.0,4.0,2000000.0,0,10.0
840,1.0,1.0,2.0,1500000.0,0,4.0
841,4.0,4.0,5.0,4500000.0,0,13.0
842,4.0,4.0,5.0,2200000.0,1,13.0
844,5.0,4.0,4.0,3000000.0,1,13.0
845,1.0,1.0,1.0,650000.0,0,3.0
846,4.0,5.0,5.0,2500000.0,0,14.0
847,4.0,4.0,5.0,2800000.0,0,13.0
848,3.0,3.0,4.0,4500000.0,1,10.0
849,3.0,3.0,4.0,2500000.0,0,10.0
850,4.0,5.0,5.0,3500000.0,1,14.0
851,2.0,2.0,2.0,1000000.0,0,6.0
852,6.0,8.0,6.0,2500000.0,1,20.0
853,3.0,3.0,4.0,1700000.0,0,10.0
855,3.0,3.0,4.0,2300000.0,0,10.0
856,3.0,3.0,4.0,4500000.0,0,10.0
857,5.0,5.0,6.0,6000000.0,1,16.0
858,5.0,5.0,6.0,4500000.0,1,16.0
859,4.0,4.0,5.0,2500000.0,1,13.0
860,3.0,3.0,4.0,2500000.0,0,10.0
861,3.0,3.0,4.0,2500000.0,0,10.0
862,1.0,1.0,1.0,700000.0,0,3.0
863,4.0,4.0,5.0,4500000.0,1,13.0
864,2.0,2.0,3.0,2000000.0,0,7.0
865,4.0,4.0,4.0,4000000.0,1,12.0
867,2.0,2.0,3.0,1600000.0,0,7.0
868,1.0,1.0,2.0,1500000.0,0,4.0
869,1.0,1.0,1.0,650000.0,0,3.0
870,5.0,5.0,6.0,4000000.0,1,16.0
871,4.0,4.0,5.0,3500000.0,0,13.0
872,4.0,4.0,5.0,3300000.0,0,13.0
873,2.0,2.0,3.0,2500000.0,0,7.0
874,2.0,2.0,3.0,2500000.0,0,7.0
875,3.0,3.0,4.0,2500000.0,0,10.0
876,3.0,3.0,6.0,7000000.0,0,12.0
877,2.0,2.0,3.0,2000000.0,1,7.0
879,4.0,4.0,5.0,4000000.0,1,13.0
880,3.0,3.0,4.0,3800000.0,0,10.0
881,3.0,3.0,4.0,1800000.0,0,10.0
882,2.0,2.0,3.0,3500000.0,0,7.0
883,3.0,3.0,4.0,2000000.0,0,10.0
884,1.0,1.0,1.0,650000.0,0,3.0
885,4.0,4.0,5.0,3000000.0,0,13.0
886,3.0,3.0,4.0,1800000.0,0,10.0
887,5.0,5.0,5.0,6000000.0,1,15.0
888,2.0,2.0,3.0,2000000.0,0,7.0
889,4.0,4.0,5.0,5500000.0,1,13.0
890,1.0,1.0,1.0,1000000.0,0,3.0
891,2.0,2.0,3.0,2000000.0,0,7.0
892,3.0,3.0,4.0,1200000.0,0,10.0
893,2.0,2.0,3.0,1400000.0,0,7.0
894,2.0,2.0,3.0,1500000.0,0,7.0
895,4.0,4.0,5.0,3500000.0,1,13.0
896,5.0,5.0,6.0,4500000.0,0,16.0
897,2.0,2.0,3.0,1600000.0,0,7.0
899,1.0,1.0,1.0,350000.0,0,3.0
900,4.0,4.0,5.0,3300000.0,0,13.0
901,3.0,4.0,4.0,2500000.0,0,11.0
902,4.0,4.0,5.0,5000000.0,0,13.0
903,3.0,3.0,4.0,1500000.0,0,10.0
904,2.0,2.0,3.0,2800000.0,0,7.0
905,4.0,4.0,4.0,3000000.0,1,12.0
906,2.0,2.0,2.0,2200000.0,0,6.0
907,3.0,3.0,4.0,2500000.0,0,10.0
908,3.0,3.0,4.0,2500000.0,0,10.0
909,3.0,3.0,4.0,250000.0,0,10.0
910,4.0,4.0,5.0,3000000.0,1,13.0
911,4.0,4.0,5.0,3500000.0,1,13.0
912,4.0,4.0,5.0,3000000.0,1,13.0
913,4.0,4.0,5.0,5000000.0,0,13.0
914,4.0,4.0,5.0,4000000.0,1,13.0
915,2.0,2.0,3.0,1700000.0,0,7.0
916,3.0,4.0,4.0,7000000.0,0,11.0
917,6.0,7.0,7.0,6500000.0,0,20.0
918,2.0,2.0,3.0,1600000.0,0,7.0
919,2.0,2.0,3.0,1800000.0,0,7.0
921,4.0,4.0,5.0,7000000.0,1,13.0
922,3.0,3.0,4.0,1700000.0,0,10.0
923,1.0,1.0,1.0,1400000.0,0,3.0
924,5.0,5.0,6.0,7000000.0,1,16.0
925,3.0,3.0,4.0,2500000.0,0,10.0
926,1.0,1.0,1.0,350000.0,0,3.0
927,1.0,1.0,1.0,500000.0,0,3.0
928,4.0,4.0,5.0,3500000.0,1,13.0
929,2.0,2.0,3.0,1700000.0,0,7.0
930,4.0,4.0,5.0,5500000.0,1,13.0
931,4.0,4.0,5.0,5000000.0,1,13.0
933,2.0,2.0,3.0,1500000.0,0,7.0
934,3.0,3.0,4.0,1900000.0,0,10.0
935,4.0,4.0,5.0,2700000.0,0,13.0
936,1.0,1.0,2.0,1500000.0,0,4.0
937,4.0,4.0,3.0,2500000.0,1,11.0
938,2.0,2.0,3.0,2500000.0,0,7.0
939,1.0,1.0,2.0,1100000.0,0,4.0
940,3.0,3.0,4.0,2800000.0,0,10.0
941,3.0,3.0,4.0,2200000.0,0,10.0
942,3.0,3.0,4.0,5000000.0,0,10.0
943,4.0,4.0,5.0,3500000.0,0,13.0
944,4.0,4.0,5.0,3000000.0,1,13.0
945,4.0,4.0,5.0,2800000.0,0,13.0
946,5.0,5.0,6.0,3000000.0,0,16.0
947,2.0,2.0,3.0,2000000.0,0,7.0
948,3.0,3.0,4.0,3200000.0,1,10.0
949,5.0,6.0,6.0,6500000.0,1,17.0
950,4.0,4.0,5.0,3500000.0,1,13.0
951,4.0,4.0,5.0,3000000.0,1,13.0
953,3.0,3.0,4.0,3500000.0,0,10.0
954,3.0,3.0,4.0,3000000.0,0,10.0
955,3.0,3.0,4.0,2000000.0,0,10.0
956,3.0,3.0,4.0,3000000.0,0,10.0
957,5.0,5.0,6.0,5000000.0,1,16.0
959,3.0,4.0,4.0,3500000.0,0,11.0
961,1.0,1.0,2.0,1700000.0,0,4.0
962,4.0,4.0,5.0,4000000.0,1,13.0
964,1.0,1.0,1.0,1200000.0,0,3.0
965,1.0,1.0,2.0,1500000.0,0,4.0
966,1.0,1.0,1.0,4950000.0,0,3.0
967,3.0,3.0,4.0,2000000.0,0,10.0
968,4.0,4.0,5.0,3000000.0,1,13.0
969,4.0,4.0,5.0,4000000.0,1,13.0
970,2.0,2.0,3.0,2400000.0,0,7.0
971,3.0,3.0,4.0,3000000.0,0,10.0
972,1.0,1.0,2.0,1500000.0,0,4.0
973,3.0,3.0,4.0,2200000.0,0,10.0
974,4.0,5.0,4.0,7000000.0,0,13.0
975,3.0,3.0,4.0,3000000.0,0,10.0
976,4.0,4.0,5.0,7000000.0,1,13.0
977,5.0,5.0,6.0,7000000.0,1,16.0
978,4.0,4.0,5.0,3500000.0,1,13.0
979,4.0,4.0,5.0,4500000.0,0,13.0
980,4.0,4.0,5.0,6500000.0,0,13.0
981,5.0,5.0,6.0,6000000.0,1,16.0
982,4.0,4.0,5.0,7000000.0,1,13.0
983,4.0,4.0,5.0,2500000.0,1,13.0
984,3.0,3.0,4.0,2500000.0,0,10.0
985,3.0,3.0,4.0,6000000.0,0,10.0
986,5.0,5.0,6.0,7000000.0,1,16.0
987,4.0,5.0,6.0,2500000.0,1,15.0
988,3.0,3.0,4.0,3000000.0,0,10.0
989,4.0,4.0,5.0,6000000.0,0,13.0
990,4.0,4.0,5.0,3500000.0,1,13.0
991,4.0,4.0,5.0,3000000.0,1,13.0
992,5.0,6.0,7.0,6000000.0,1,18.0
993,1.0,1.0,1.0,7000000.0,1,3.0
994,3.0,4.0,4.0,3500000.0,0,11.0
995,1.0,1.0,1.0,1400000.0,0,3.0
996,3.0,3.0,4.0,4500000.0,0,10.0
998,4.0,4.0,5.0,3500000.0,1,13.0
999,4.0,4.0,5.0,7000000.0,0,13.0
1000,5.0,5.0,6.0,7000000.0,1,16.0
1002,3.0,3.0,4.0,3000000.0,0,10.0
1004,3.0,5.0,5.0,2300000.0,0,13.0
1005,2.0,1.0,2.0,3000000.0,1,5.0
1006,4.0,4.0,5.0,4000000.0,1,13.0
1007,4.0,4.0,5.0,5500000.0,1,13.0
1008,4.0,4.0,5.0,5000000.0,0,13.0
1011,1.0,1.0,1.0,700000.0,0,3.0
1013,4.0,5.0,5.0,3200000.0,0,14.0
1014,3.0,3.0,4.0,2500000.0,0,10.0
1015,3.0,3.0,4.0,2000000.0,0,10.0
1016,4.0,4.0,5.0,3500000.0,1,13.0
1017,3.0,2.0,3.0,1500000.0,0,8.0
1018,3.0,3.0,4.0,2750000.0,0,10.0
1019,4.0,4.0,5.0,2800000.0,1,13.0
1020,3.0,3.0,4.0,1700000.0,0,10.0
1021,2.0,2.0,3.0,3500000.0,0,7.0
1022,1.0,1.0,1.0,500000.0,0,3.0
1023,1.0,1.0,1.0,400000.0,0,3.0
1024,4.0,4.0,5.0,3200000.0,1,13.0
1025,3.0,3.0,4.0,2500000.0,1,10.0
1026,3.0,3.0,4.0,1700000.0,0,10.0
1027,3.0,3.0,4.0,2000000.0,0,10.0
1028,1.0,1.0,2.0,800000.0,0,4.0
1029,3.0,3.0,4.0,3000000.0,1,10.0
1030,2.0,2.0,3.0,1500000.0,0,7.0
1031,1.0,1.0,1.0,500000.0,0,3.0
1032,2.0,2.0,3.0,1500000.0,1,7.0
1033,3.0,3.0,4.0,2400000.0,1,10.0
1034,2.0,2.0,3.0,1700000.0,0,7.0
1035,3.0,3.0,3.0,2000000.0,1,9.0
1036,4.0,4.0,5.0,3500000.0,1,13.0
1037,2.0,2.0,3.0,600000.0,0,7.0
1038,1.0,1.0,2.0,1600000.0,0,4.0
1039,3.0,3.0,4.0,2600000.0,0,10.0
1040,4.0,4.0,5.0,3500000.0,1,13.0
1043,1.0,1.0,1.0,1000000.0,0,3.0
1044,1.0,1.0,2.0,1700000.0,0,4.0
1045,3.0,4.0,4.0,1800000.0,0,11.0
1046,3.0,3.0,4.0,3000000.0,0,10.0
1047,4.0,4.0,5.0,2700000.0,1,13.0
1048,2.0,2.0,3.0,2300000.0,0,7.0
1049,1.0,1.0,1.0,250000.0,0,3.0
1050,3.0,3.0,5.0,3000000.0,0,11.0
1051,4.0,4.0,5.0,5500000.0,1,13.0
1052,3.0,3.0,4.0,3500000.0,0,10.0
1053,3.0,3.0,4.0,1600000.0,1,10.0
1054,1.0,1.0,2.0,850000.0,0,4.0
1055,2.0,1.0,2.0,1000000.0,0,5.0
1056,5.0,5.0,6.0,4500000.0,1,16.0
1057,4.0,4.0,5.0,5000000.0,0,13.0
1058,1.0,1.0,2.0,1500000.0,0,4.0
1059,1.0,1.0,2.0,1400000.0,0,4.0
1060,3.0,3.0,4.0,3000000.0,0,10.0
1061,1.0,1.0,2.0,800000.0,0,4.0
1062,4.0,4.0,5.0,4500000.0,1,13.0
1064,4.0,4.0,5.0,3000000.0,0,13.0
1065,5.0,5.0,6.0,3000000.0,1,16.0
1066,4.0,4.0,5.0,3500000.0,0,13.0
1067,4.0,4.0,5.0,5000000.0,0,13.0
1068,5.0,5.0,6.0,6500000.0,0,16.0
1069,2.0,2.0,3.0,1700000.0,0,7.0
1070,4.0,4.0,5.0,2900000.0,1,13.0
1071,4.0,4.0,5.0,3000000.0,1,13.0
1072,2.0,1.0,2.0,1500000.0,0,5.0
1073,4.0,4.0,5.0,3500000.0,1,13.0
1074,3.0,3.0,4.0,2800000.0,0,10.0
1075,4.0,4.0,5.0,6500000.0,1,13.0
1076,3.0,3.0,4.0,3000000.0,0,10.0
1077,3.0,3.0,4.0,1800000.0,0,10.0
1078,5.0,5.0,6.0,7000000.0,1,16.0
1079,4.0,4.0,5.0,5000000.0,0,13.0
1080,4.0,4.0,5.0,3000000.0,1,13.0
1081,3.0,3.0,4.0,2000000.0,0,10.0
1082,5.0,5.0,6.0,3500000.0,1,16.0
1083,2.0,2.0,3.0,2000000.0,0,7.0
1084,4.0,4.0,5.0,3000000.0,1,13.0
1085,2.0,2.0,3.0,2500000.0,0,7.0
1086,3.0,3.0,4.0,3000000.0,0,10.0
1087,1.0,1.0,2.0,800000.0,0,4.0
1088,3.0,3.0,4.0,2000000.0,0,10.0
1089,3.0,3.0,4.0,1700000.0,0,10.0
1090,3.0,3.0,4.0,2700000.0,0,10.0
1091,4.0,5.0,5.0,5000000.0,0,14.0
1092,4.0,4.0,5.0,3500000.0,0,13.0
1093,3.0,3.0,4.0,250000.0,0,10.0
1094,4.0,4.0,5.0,6000000.0,0,13.0
1095,4.0,4.0,5.0,3000000.0,1,13.0
1096,3.0,3.0,4.0,2500000.0,0,10.0
1097,2.0,2.0,3.0,2000000.0,0,7.0
1098,4.0,4.0,5.0,3500000.0,0,13.0
1099,3.0,3.0,4.0,1600000.0,0,10.0
1100,3.0,4.0,4.0,3000000.0,0,11.0
1101,5.0,5.0,6.0,6000000.0,1,16.0
1102,2.0,2.0,3.0,1800000.0,0,7.0
1103,4.0,4.0,5.0,3500000.0,1,13.0
1104,3.0,3.0,4.0,2000000.0,0,10.0
1106,3.0,3.0,4.0,1500000.0,0,10.0
1107,4.0,4.0,5.0,3500000.0,1,13.0
1108,1.0,1.0,2.0,1300000.0,0,4.0
1109,1.0,1.0,2.0,1800000.0,0,4.0
1110,3.0,3.0,4.0,3000000.0,0,10.0
1111,5.0,5.0,6.0,6000000.0,1,16.0
1112,4.0,4.0,5.0,3500000.0,1,13.0
1113,3.0,3.0,4.0,1300000.0,0,10.0
1114,1.0,1.0,2.0,1500000.0,0,4.0
1115,3.0,4.0,4.0,3500000.0,0,11.0
1116,4.0,4.0,5.0,5500000.0,0,13.0
1117,4.0,4.0,5.0,2800000.0,1,13.0
1118,4.0,4.0,5.0,3300000.0,1,13.0
1119,3.0,3.0,4.0,7000000.0,0,10.0
1120,4.0,4.0,5.0,3500000.0,1,13.0
1121,3.0,3.0,4.0,3500000.0,0,10.0
1122,2.0,2.0,3.0,1300000.0,0,7.0
1123,3.0,3.0,4.0,1700000.0,0,10.0
1124,3.0,3.0,4.0,3700000.0,1,10.0
1125,2.0,1.0,1.0,1000000.0,0,4.0
1126,4.0,4.0,5.0,4500000.0,1,13.0
1127,1.0,1.0,1.0,1700000.0,0,3.0
1128,3.0,3.0,4.0,4000000.0,0,10.0
1129,4.0,4.0,5.0,5000000.0,0,13.0
1130,3.0,3.0,4.0,2000000.0,0,10.0
1131,5.0,5.0,6.0,5500000.0,1,16.0
1132,2.0,2.0,3.0,2500000.0,1,7.0
1133,2.0,2.0,3.0,3000000.0,0,7.0
1134,4.0,4.0,5.0,3000000.0,1,13.0
1135,3.0,2.0,3.0,2500000.0,0,8.0
1136,2.0,2.0,3.0,1800000.0,0,7.0
1137,5.0,5.0,6.0,6000000.0,1,16.0
1138,4.0,4.0,5.0,5000000.0,1,13.0
1139,3.0,3.0,4.0,2700000.0,0,10.0
1140,3.0,3.0,4.0,3500000.0,0,10.0
1141,3.0,3.0,4.0,2500000.0,0,10.0
1142,5.0,5.0,6.0,3500000.0,1,16.0
1143,3.0,3.0,4.0,2500000.0,0,10.0
1144,2.0,2.0,3.0,1300000.0,0,7.0
1145,5.0,5.0,6.0,6000000.0,1,16.0
1146,4.0,4.0,5.0,4000000.0,1,13.0
1147,5.0,5.0,6.0,3500000.0,1,16.0
1148,3.0,3.0,4.0,2500000.0,0,10.0
1149,4.0,4.0,5.0,2500000.0,0,13.0
1150,3.0,3.0,4.0,2500000.0,0,10.0
1151,2.0,2.0,2.0,1800000.0,0,6.0
1152,5.0,5.0,5.0,5000000.0,1,15.0
1153,2.0,2.0,2.0,1200000.0,0,6.0
1155,2.0,2.0,3.0,2000000.0,0,7.0
1156,3.0,3.0,4.0,3000000.0,0,10.0
1157,2.0,2.0,3.0,2000000.0,1,7.0
1158,1.0,1.0,2.0,1300000.0,0,4.0
1159,3.0,3.0,4.0,1900000.0,0,10.0
1160,3.0,3.0,4.0,3000000.0,0,10.0
1161,4.0,4.0,5.0,3000000.0,1,13.0
1162,3.0,3.0,4.0,1500000.0,1,10.0
1163,3.0,3.0,4.0,2000000.0,0,10.0
1165,5.0,5.0,6.0,7000000.0,1,16.0
1166,3.0,3.0,4.0,2500000.0,0,10.0
1167,3.0,3.0,4.0,2800000.0,0,10.0
1168,5.0,5.0,6.0,6500000.0,1,16.0
1169,2.0,2.0,3.0,2000000.0,0,7.0
1170,4.0,4.0,5.0,2900000.0,0,13.0
1171,5.0,5.0,6.0,3000000.0,0,16.0
1172,5.0,5.0,6.0,5000000.0,0,16.0
1173,4.0,4.0,5.0,3300000.0,0,13.0
1174,3.0,3.0,4.0,3500000.0,0,10.0
1175,3.0,3.0,4.0,1700000.0,0,10.0
1176,2.0,2.0,2.0,3500000.0,0,6.0
1177,1.0,2.0,2.0,1700000.0,0,5.0
1178,4.0,4.0,5.0,3000000.0,0,13.0
1179,3.0,3.0,4.0,2500000.0,0,10.0
1180,3.0,3.0,4.0,2500000.0,1,10.0
1181,4.0,4.0,5.0,4000000.0,0,13.0
1182,4.0,4.0,5.0,2500000.0,1,13.0
1183,1.0,1.0,2.0,850000.0,0,4.0
1184,3.0,3.0,4.0,2200000.0,0,10.0
1185,3.0,3.0,4.0,2500000.0,0,10.0
1186,3.0,3.0,4.0,1850000.0,0,10.0
1187,3.0,3.0,4.0,1800000.0,0,10.0
